"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL603";"ZAFIRLUKAST";"ACCOLATE|ICI 204,219|ICI-204,219|ICI-204219|ZAFIRLUKAST";"ICI 204,219|ICI-204219";"4.0";"Rising Pharmaceuticals Inc|Dr Reddys Laboratories Ltd|Strides Pharma Global Pte Ltd|Annora Pharma Private Ltd";"'-ast'";"1995";"antiasthmatics/antiallergics (not acting primarily as antihistamines): leukotriene receptor antagonists";"'-ast(-ast (-lukast))'";"1996";"R03DC01";"R03DC - Leukotriene receptor antagonists";"R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"R - RESPIRATORY SYSTEM";"Anti-Asthmatic (leukotriene antagonist)";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12";"InChI=1S/C31H33N3O6S/c1-20-8-4-7-11-29(20)41(37,38)33-30(35)22-13-12-21(28(17-22)39-3)16-23-19-34(2)27-15-14-24(18-26(23)27)32-31(36)40-25-9-5-6-10-25/h4,7-8,11-15,17-19,25H,5-6,9-10,16H2,1-3H3,(H,32,36)(H,33,35)";"False";"0"
"CHEMBL1200953";"HYDROCORTISONE PROBUTATE";"HYDROCORTISONE BUTEPRATE|HYDROCORTISONE BUTYRATE PROPIONATE|HYDROCORTISONE PROBUTAT|HYDROCORTISONE PROBUTATE|PANDEL|TS 408|TS-408";"TS 408|TS-408";"4.0";"Ani Pharmaceuticals Inc";"'-cort-'";"1997";"cortisone derivatives";"'-cort-(-cort-)'";"1997";"D07AB11";"D07AB - Corticosteroids, moderately potent (group II)";"D07A - CORTICOSTEROIDS, PLAIN";"D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS";"D - DERMATOLOGICALS";"Glucocorticoid";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"0";"0";"1";"0";"Prescription Only";"CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C";"InChI=1S/C28H40O7/c1-5-7-24(33)35-28(22(31)16-34-23(32)6-2)13-11-20-19-9-8-17-14-18(29)10-12-26(17,3)25(19)21(30)15-27(20,28)4/h14,19-21,25,30H,5-13,15-16H2,1-4H3/t19-,20-,21-,25+,26-,27-,28-/m0/s1";"False";"0"
"CHEMBL3989866";"BICTEGRAVIR";"BICTEGRAVIR|GS-9883|GS-9883-01";"GS-9883|GS-9883-01";"4.0";"Gilead Sciences Inc";"'-vir'";"2016";"antivirals: integrase inhibitors";"'-vir(-vir (-tegravir))'";"2018";"";"";"";"";"";"";"US-7390791-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2";"InChI=1S/C21H18F3N3O5/c22-9-3-14(23)12(15(24)4-9)6-25-20(30)13-7-26-8-16-27(10-1-2-11(5-10)32-16)21(31)17(26)19(29)18(13)28/h3-4,7,10-11,16,29H,1-2,5-6,8H2,(H,25,30)/t10-,11+,16+/m0/s1";"False";"0"
"CHEMBL3989850";"ECAMSULE";"ECAMSUL|ECAMSULE|ECAMSULE SOLUTION|MEXORYL|MEXORYL SX|Mexoryl SX|NSC-760054";"NSC-760054";"4.0";"Loreal Usa Products Inc";"'-camsule'";"1997";"camphorsulfonic acid derivatives used as UVA sunscreens";"'-camsule(-camsule)'";"2006";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"1";"0";"Over the Counter";"CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2=Cc1ccc(C=C2C(=O)C3(CS(=O)(=O)O)CCC2C3(C)C)cc1";"InChI=1S/C28H34O8S2/c1-25(2)21-9-11-27(25,15-37(31,32)33)23(29)19(21)13-17-5-7-18(8-6-17)14-20-22-10-12-28(24(20)30,26(22,3)4)16-38(34,35)36/h5-8,13-14,21-22H,9-12,15-16H2,1-4H3,(H,31,32,33)(H,34,35,36)";"False";"0"
"CHEMBL4594271";"BEROTRALSTAT";"BCX-7353|BCX7353|BEROTRALSTAT";"BCX-7353|BCX7353";"4.0";"Biocryst Pharmaceuticals Inc";"'-stat'";"2019";"enzyme inhibitors: 1) kallikrein inhibitors or 2) serine protease inhibitors";"'-stat(-stat (-alstat))'";"2020";"B06AC06";"B06AC - Drugs used in hereditary angioedema";"B06A - OTHER HEMATOLOGICAL AGENTS";"B06 - OTHER HEMATOLOGICAL AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"";"US-10125102-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1";"InChI=1S/C30H26F4N6O/c31-24-10-9-22(28(37-17-18-7-8-18)21-5-1-3-19(11-21)15-35)13-25(24)38-29(41)26-14-27(30(32,33)34)39-40(26)23-6-2-4-20(12-23)16-36/h1-6,9-14,18,28,37H,7-8,16-17,36H2,(H,38,41)";"False";"0"
"CHEMBL1201";"THIOTHIXENE";"(Z)-THIOTHIXENE|CIS-THIOTHIXENE|CP-12252-1|NAVANE|NSC-108165|ORBINAMON|P-4657 B|P-4657B|THIOTHIXENE|THIOTHIXENE CIS-ISOMER|TIOTIXENE|TIOTIXENO";"CP-12252-1|NSC-108165|P-4657 B|P-4657B";"4.0";"Mylan Pharmaceuticals Inc|Epic Pharma Llc|Teva Pharmaceuticals Usa|Amneal Eu Ltd|Rising Pharma Holdings Inc|Alpharma Us Pharmaceuticals Division|Paco Research Corp|American Therapeutics Inc|Watson Laboratories Inc|Hikma Pharmaceuticals Usa Inc";"";"1965";"";"";"1967";"N05AF04";"N05AF - Thioxanthene derivatives";"N05A - ANTIPSYCHOTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Antipsychotic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"0";"1";"Prescription Only";"CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1";"InChI=1S/C23H29N3O2S2/c1-24(2)30(27,28)18-10-11-23-21(17-18)19(20-7-4-5-9-22(20)29-23)8-6-12-26-15-13-25(3)14-16-26/h4-5,7-11,17H,6,12-16H2,1-3H3/b19-8-";"False";"0"
"CHEMBL1574";"PHENTERMINE";"DUROMINE|FENTERMINA|IONAMIN|NSC-759163|PHENTERMINE|PHENTERMINE RESIN|PHENTERMINE RESIN 30|PHENTERMINE RESIN COMPLEX|Phentermine|QSIVA";"NSC-759163";"4.0";"Sandoz Consumer Health Care Group Div Sandoz Pharmaceuticals Corp|Quantum Pharmics Ltd|Vitarine Pharmaceuticals Inc|Prinston Pharmaceutical Inc|Usl Pharma Inc|Invagen Pharmaceuticals Inc|Lannett Co Inc|Sun Pharmaceutical Industries Inc|Teva Pharmaceuticals Usa Inc|Nuvo Pharmaceutical Inc";"";"1962";"";"";"1959";"A08AA01";"A08AA - Centrally acting antiobesity products";"A08A - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS";"A08 - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS";"A - ALIMENTARY TRACT AND METABOLISM";"Anorexic,Appetite Suppressant (systemic)";"US-8440170-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC(C)(N)Cc1ccccc1";"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3";"False";"0"
"CHEMBL1201165";"QUINESTROL";"ESTROVIS|NSC-759637|QUINESTROL|W 3566|W-3566";"NSC-759637|W 3566|W-3566";"4.0";"Parke Davis Div Warner Lambert Co";"'-estr-'";"1963";"estrogens";"'-estr-(-estr-)'";"1982";"";"";"";"";"";"Estrogen";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Discontinued";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C";"InChI=1S/C25H32O2/c1-3-25(26)15-13-23-22-10-8-17-16-19(27-18-6-4-5-7-18)9-11-20(17)21(22)12-14-24(23,25)2/h1,9,11,16,18,21-23,26H,4-8,10,12-15H2,2H3/t21-,22-,23+,24+,25+/m1/s1";"False";"0"
"CHEMBL1201242";"INDECAINIDE";"INDECAINIDA|INDECAINIDE|Indecainide";"";"4.0";"Eli Lilly And Co";"";"1983";"";"";"1989";"";"";"";"";"";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21";"InChI=1S/C20H24N2O/c1-14(2)22-13-7-12-20(19(21)23)17-10-5-3-8-15(17)16-9-4-6-11-18(16)20/h3-6,8-11,14,22H,7,12-13H2,1-2H3,(H2,21,23)";"False";"0"
"CHEMBL3188267";"CAPMATINIB";"CAPMATINIB|Capmatinib|INC-280|INC280|INCB-28060|INCB-28060 FREE BASE|NVP-INC280|NVP-INC280-NX|NYP-INC280-NX";"INC-280|INC280|INCB-28060|INCB-28060 FREE BASE|NVP-INC280|NVP-INC280-NX|NYP-INC280-NX";"4.0";"Novartis Pharmaceutical Corp";"'-tinib'";"2016";"tyrosine kinase inhibitors";"'-tinib(-tinib)'";"2020";"L01EX17";"L01EX - Other protein kinase inhibitors";"L01E - PROTEIN KINASE INHIBITORS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-7767675-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F";"InChI=1S/C23H17FN6O/c1-25-22(31)18-6-5-16(11-19(18)24)21-13-28-23-27-12-17(30(23)29-21)10-14-4-7-20-15(9-14)3-2-8-26-20/h2-9,11-13H,10H2,1H3,(H,25,31)";"False";"0"
"CHEMBL1351";"CARBOPLATIN";"CARBOPLATIN|CARBOPLATINE|CARBOPLATINO|CARBOPLATINUM|JM-8|NSC-201345|NSC-241240|PARAPLATIN|Paraplatin";"JM-8|NSC-201345|NSC-241240";"4.0";"Teva Parenteral Medicines Inc|Mylan Laboratories Ltd|Sun Pharmaceutical Industries Ltd|Mylan Institutional Llc|Akorn Operating Co Llc|Watson Laboratories Inc An Indirect Wholly Owned Sub Of Teva Pharmaceuticals Usa Inc|Pliva Inc|Eugia Pharma Specialities Ltd|Pliva Lachema As|Epic Pharma Llc";"'-platin'";"1983";"antineoplastics (platinum derivatives)";"'-platin(-platin)'";"1989";"L01XA02";"L01XA - Platinum compounds";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"1";"0";"1";"Prescription Only";"";"";"False";"0"
"CHEMBL1201101";"TESTOSTERONE CYPIONATE";"Andro-Cyp|DEPO-TESTOSTERONE|DepAndro|Depo-Testadiol|Depotest|NSC-9157|TESTOSTERONE 17.BETA.-CYCLOPENTANEPROPIONATE|TESTOSTERONE CIPIONATE|TESTOSTERONE CYCLOPENTYLPROPIONATE|TESTOSTERONE CYPIONATE|TESTOSTERONE CYPIONATE CIII";"NSC-9157";"4.0";"Pharmacia And Upjohn Co|Slayback Pharma Llc|Sun Pharmaceutical Industries Ltd|Watson Laboratories Inc|Hikma Pharmaceuticals Usa Inc|Cipla Ltd|Rising Pharma Holding Inc|Watson Pharmaceuticals Inc|Padagis Us Llc|Xiromed Pharma Espana Sl";"'-ster-; -terone'";"";"steroids (androgens, anabolics); antiandrogens";"'-ster-(-ster-); -terone(-terone)'";"1978";"";"";"";"";"";"Androgen";"US-11311554-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Prescription Only";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1";"InChI=1S/C27H40O3/c1-26-15-13-20(28)17-19(26)8-9-21-22-10-11-24(27(22,2)16-14-23(21)26)30-25(29)12-7-18-5-3-4-6-18/h17-18,21-24H,3-16H2,1-2H3/t21-,22-,23-,24-,26-,27-/m0/s1";"False";"0"
"CHEMBL13209";"NITRAZEPAM";"BENZALIN|MOGADON|N05CD02|NITRADOS|NITRAZEPAM|NITRAZEPAMUM|NSC-58775|REMNOS|RO 4-5360|RO 5-3059|RO-4-5360|RO-45360|RO-5-3059|RO-53059|SOMNITE|UNISOMNIA";"N05CD02|NSC-58775|RO 4-5360|RO 5-3059|RO-4-5360|RO-45360|RO-5-3059|RO-53059";"4.0";"";"'-azepam'";"1966";"antianxiety agents (diazepam type)";"'-azepam(-azepam)'";"";"N05CD02";"N05CD - Benzodiazepine derivatives";"N05C - HYPNOTICS AND SEDATIVES";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Anticonvulsant; Sedative-Hypnotic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1";"InChI=1S/C15H11N3O3/c19-14-9-16-15(10-4-2-1-3-5-10)12-8-11(18(20)21)6-7-13(12)17-14/h1-8H,9H2,(H,17,19)";"False";"0"
