zinc_id,smiles
ZINC000003860468,N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC000001532734,NCCCNCCCCNCCCN
ZINC000001532556,NC(=O)C[C@H](N)C(=O)O
ZINC000003869280,N[C@@H](COP(=O)(O)O)C(=O)O
ZINC000003831116,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
ZINC000003831174,CCN(CC)CCOC(=O)[C@H](Cc1cccc2ccccc12)C[C@H]1CCCO1
ZINC000003831401,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1
ZINC000003830933,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
ZINC000003872806,Oc1ccc([C@@H](O)CNCCCCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1O
ZINC000003873817,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13
ZINC000003832372,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
ZINC000003830706,N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1
ZINC000003831552,CC[C@@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21
ZINC000003873365,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@@]2(C)O
ZINC000003874580,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1
ZINC000003860156,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
ZINC000000000440,O[C@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
ZINC000000001195,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
ZINC000021981303,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
ZINC000003830950,CC[C@H](Cc1c(I)cc(I)c(N)c1I)C(=O)O
ZINC000003830283,CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1
ZINC000003872492,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O)[C@@H]2O
ZINC000003873366,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(C)O
ZINC000000896887,CN1C(=O)C[C@H](c2ccccc2)C1=O
ZINC000000897263,C[N+]1(C)CCN(C[C@](O)(c2ccccc2)C2CCCCC2)CC1
ZINC000000900543,C1=Cc2cccc(OC[C@H]3CNCCO3)c2C1
ZINC000000900630,c1ccc2c(c1)OC[C@@H](C1=NCCN1)O2
ZINC000000896468,CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1
ZINC000000896650,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21
ZINC000000901808,NC[C@@H](O)CC(=O)O
ZINC000000000865,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1
ZINC000000002645,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1
ZINC000000897225,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
ZINC000000896648,CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1
ZINC000000000250,CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1
ZINC000000000500,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1
ZINC000003861134,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@@H]1[C@H]6[C@H]5C[C@H]43
ZINC000003871723,c1ccc(-c2ccc([C@@H](c3ccccc3)n3ccnc3)cc2)cc1
ZINC000003872945,Clc1ccc([C@H](Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
ZINC000003830195,CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@@H]1C
ZINC000003830445,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
ZINC000003830609,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O
ZINC000003830847,COC(=O)/N=c1\[nH]c2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1
ZINC000003833880,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@@H](O)CC(=O)O
ZINC000000005349,CCC[C@H]1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
ZINC000004097284,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
ZINC000255965156,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@H]3[C@H](C)C[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C
ZINC000255977092,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
ZINC000255977094,CC(=O)O[C@H]1C[C@H](O[C@@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
ZINC000257362202,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
ZINC000011616580,O=C(O)[C@@H](CC(=O)N1C[C@H]2CCCC[C@@H]2C1)Cc1ccccc1
ZINC000012503153,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@@H](O)c1ccccc1)C2
ZINC000012503210,CCC(=O)[C@@]1(C)[C@H](C)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@H]3[C@@H](O)C[C@@]21C
ZINC000212549525,CCN[C@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1
ZINC000000896621,O[C@@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
ZINC000001846088,CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
ZINC000001855421,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
ZINC000000004227,CCN(CC)[C@@H](C)CN1c2ccccc2Sc2ccccc21
ZINC000000004234,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
ZINC000003831106,CCC1(CC)C(=O)NC[C@@H](C)C1=O
ZINC000003831107,CCC1(CC)C(=O)NC[C@H](C)C1=O
ZINC000255965157,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@H]3[C@H](C)C[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C
ZINC000255977093,CC(=O)O[C@H]1C[C@H](O[C@@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
ZINC000011616152,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
ZINC000011616154,CO[C@H]1[C@H](OC(N)=O)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
ZINC000012503200,C/C=C(C(=C\C)\c1ccc(O)cc1)/c1ccc(O)cc1
ZINC000084403367,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1
ZINC000014768469,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1
ZINC000014879963,CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1
ZINC000087496183,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
ZINC000015831592,O=[N+]([O-])c1ccc(O)c2ncccc12
ZINC000212549609,CCN[C@@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1
ZINC000003831171,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1
ZINC000000000136,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000642,C[C@H]1CCC[C@@H](C)N1CCC[C@@](O)(c1ccccc1)c1ccccn1
ZINC000000006047,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
ZINC000000020246,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
ZINC000000056544,CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1
ZINC000000057461,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21
ZINC000000538285,Cc1ccc2c([nH]c(=O)c3c(=O)cc(C(=O)OCCC(C)C)oc32)c1C
ZINC000000598852,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
ZINC000000897317,NC(=O)OC[C@H](O)COc1ccc(Cl)cc1
ZINC000001481908,CCC[C@H](Cc1ccccc1)N1CCCC1
ZINC000001483896,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C
ZINC000001530668,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
ZINC000001530934,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
ZINC000001537194,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
ZINC000001585847,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1
ZINC000001656905,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314
ZINC000001656906,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314
ZINC000001678599,CCC[C@@H](Cc1ccccc1)N1CCCC1
ZINC000001692966,COc1cc(C[C@@H](C)N)ccc1O
ZINC000001849578,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl
ZINC000001873617,CCNCCC[C@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000002020068,C[C@H]1CCC[C@@H](C)N1CCC[C@](O)(c1ccccc1)c1ccccn1
ZINC000002021799,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
ZINC000002032663,C[C@H](O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
ZINC000002042694,CCNCCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000002244165,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=N[C@@H]2O
ZINC000002526388,COc1cc(O)ccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12
ZINC000002528509,COc1cc(O)ccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12
ZINC000003644762,COc1cc(C[C@H](C)N)ccc1O
ZINC000003784432,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
ZINC000003814184,O=C(O)CN1C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(=O)O)CCc2ccccc21
ZINC000003831001,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
ZINC000003831012,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12
ZINC000003873781,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2c3cccc4c3c(cn4C)C[C@H]21
ZINC000003875881,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F
ZINC000003932191,CC(C)c1c(C(=O)Nc2ccc(O)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
ZINC000003956771,CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
ZINC000003975663,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1
ZINC000004099104,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
ZINC000004214740,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
ZINC000004217560,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
ZINC000005140429,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21
ZINC000005140888,CN1C(=O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1c1cccnc1
ZINC000005161505,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=N[C@H]2O
ZINC000005699865,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
ZINC000005768112,CCC(=O)N(c1ccccc1)C1(COC)CCNCC1
ZINC000005834731,CCCNC[C@H](O)COc1ccc(O)cc1C(=O)CCc1ccccc1
ZINC000005834799,CCCNC[C@@H](O)COc1ccc(O)cc1C(=O)CCc1ccccc1
ZINC000005846414,CCN(CC)CC(=O)Nc1c(C)ccc(O)c1C
ZINC000005967123,CN1C(=O)CC[C@H]1c1ccc[n+]([O-])c1
ZINC000006030312,C[C@H](C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1
ZINC000006037085,C[C@@H](C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1
ZINC000006119299,Nc1nc(O)c2ncn(COCC(=O)O)c2n1
ZINC000008234405,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
ZINC000008655696,CN(Cc1nc2c(N)[nH]c(=N)[nH]c-2nc1=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
ZINC000012496833,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CC[C@@H]1O
ZINC000012496837,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CC[C@H]1O
ZINC000013449409,COc1cc2c(cc1O)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000013449412,COc1cc2c(cc1O)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000014879959,CC1=C[C@H](O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@H](O)CC1(C)C
ZINC000014879961,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@H](O)CC1(C)C
ZINC000100017736,CC(C)(O)[C@@H]1[C@@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
ZINC000100036900,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H]([C@@H]1C[C@H]3C=C[C@H]1C3)NS2(=O)=O
ZINC000100036904,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H]([C@@H]1C[C@H]3C=C[C@H]1C3)NS2(=O)=O
ZINC000100036907,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H]([C@H]1C[C@H]3C=C[C@H]1C3)NS2(=O)=O
ZINC000100036910,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H]([C@H]1C[C@H]3C=C[C@H]1C3)NS2(=O)=O
ZINC000100051302,CC(/C=C/[C@@]12O[C@@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000100051308,CC(/C=C/[C@]12O[C@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000021981364,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
ZINC000022010910,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC
ZINC000022056370,O=C1N=C(O)[C@@H](Cc2ccc(OCCNc3ccccn3)cc2)S1
ZINC000022056375,O=C1N=C(O)[C@H](Cc2ccc(OCCNc3ccccn3)cc2)S1
ZINC000022056510,CCCNCCc1cccc2c1CC(=O)N2
ZINC000022060380,O=C1CC2(CCCC2)[C@H](O)C(=O)N1CCCCN1CCN(c2ncccn2)CC1
ZINC000022060383,O=C1CC2(CCCC2)[C@@H](O)C(=O)N1CCCCN1CCN(c2ncccn2)CC1
ZINC000022060986,OC1CCC([C@@H](C[C@@H]2CCCCN2)C2CCCCC2)CC1
ZINC000022060989,OC1CCC([C@H](C[C@@H]2CCCCN2)C2CCCCC2)CC1
ZINC000022060992,OC1CCC([C@@H](C[C@H]2CCCCN2)C2CCCCC2)CC1
ZINC000022060995,OC1CCC([C@H](C[C@H]2CCCCN2)C2CCCCC2)CC1
ZINC000022446644,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
ZINC000030731219,Oc1ccc2c(c1)C=Cc1ccccc1N2
ZINC000030731384,CC(/C=C/[C@]12O[C@@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000030731390,CC(/C=C/[C@@]12O[C@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000031456738,Cc1ccc(C(=O)c2ccc(CC(=O)O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)n2C)cc1
ZINC000033889315,C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4C[C@@H](O)[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@H]3C2)C[C@H](O)[C@@H]1O
ZINC000034468397,Oc1cccc2c1CC[C@H](NCCc1cccs1)C2
ZINC000035048352,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000036387179,CC(C)(C)C(=O)OCC(=O)[C@@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C
ZINC000037634012,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@H]3[C@H]1C5
ZINC000039163942,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@@H](CO)[C@H]2C(=O)O)OCO4)cc(OC)c1OC
ZINC000040164432,CC1=C[C@H](O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
ZINC000003831157,CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21
ZINC000003831042,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21
ZINC000003644165,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
ZINC000001529214,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
ZINC000001532614,NC(=O)NCCC[C@H](N)C(=O)O
ZINC000001529732,N[C@@H](CSCC(=O)O)C(=O)O
ZINC000001532510,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O
ZINC000001532514,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
ZINC000001532530,NCCC[C@H](N)C(=O)O
ZINC000001530705,CC(=O)OCC(COC(C)=O)OC(C)=O
ZINC000000000652,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)cc1
ZINC000002014976,O=C(OC[C@@H](O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
ZINC000000056400,CN[C@H](C)[C@H](O)c1ccc(O)cc1
ZINC000019796033,CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1
ZINC000019796082,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
ZINC000019796031,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32
ZINC000019701765,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31
ZINC000019796161,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O
ZINC000000001916,NC(=O)NC(=O)Cc1ccccc1
ZINC000000001852,Cc1c(-c2cnccn2)ssc1=S
ZINC000000000368,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
ZINC000003809191,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
ZINC000000113439,COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1
ZINC000002040211,CCCCSc1ccc([C@@H](SCCN(C)C)c2ccccc2)cc1
ZINC000012410091,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
ZINC000000607910,O=C(OC[C@H](O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
ZINC000003872687,O=C(OC[C@@H](O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
ZINC000003834173,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
ZINC000000057466,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
ZINC000000608117,CC[C@@](COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
ZINC000100068378,CN1[C@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C[C@@H]2O
ZINC000003831578,CC[C@](COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
ZINC000085537142,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC
ZINC000000020260,CN1CCCN=C1COC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
ZINC000003830261,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
ZINC000019594549,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
ZINC000002040210,CCCCSc1ccc([C@H](SCCN(C)C)c2ccccc2)cc1
