smiles,Is Drug
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
C[N+](C)(CC/C=C1\c2ccccc2COc2ccccc21)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,1
CC1CCCC2C(C)CC(O)CC(O)CC2N1,0
O=C(NCC1(O)CCC(F)(F)CC1)c1ccc(C(F)(F)F)s1,0
CCCNC(C)C1C2CNC(C(=N)N)(C2)C1O,0
CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
O=C(CSc1cn[nH]n1)N(C1CCCCC1)C1CCCCC1,0
CC1OC(=N)C(CO)C2CC(O)C1(O)C2C#N,0
Cc1cc(C(O)CO)c2c(I)c(C)oc(I)c1-2,0
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,1
N.O=C(O)c1ccccc1,1
N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,1
OCc1cc([C@H](O)CNCCCCCCOCCC[C@@H](O)c2ccccc2)ccc1O,1
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1
O=S(=O)(c1cccc2ccccc12)N1CCC[C@H](OCC2CC2)C1,0
CC1C2CC(O)C(N2)C1Cc1cc(Br)ncn1,0
Cc1ccc(N[C@@H]2[C@@H]3CCO[C@H]3C23CCC3)c([N+](=O)[O-])c1,0
CC12C3=NCCC1OC1COCC12CC(=N)N3,0
CC1(C=O)NC(=N)C2(C)NCC1C2(O)C#N,0
CCOc1ccc(S(=O)(=O)Cc2cccnc2C(F)(F)F)cc1,0
COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,1
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,1
C[C@@H]1C[C@H]1c1ccc(CCC(=O)N2CCC[C@H]2Cn2cccn2)o1,0
CC(O)(C(=N)N)c1nn(CC#N)c(=O)nc1Br,0
CN1[C@@H](CC(=O)c2ccccc2)CCC[C@@H]1C[C@H](O)c1ccccc1,1
CC(O)C12COCC1N=C1Oc3[nH]cnc3N12,0
N[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1
CC1(N=CN)COC2=NCC3OCCCCC231,0
CCN[C@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1,1
CCC[C@H](C)[C@]1(CC)C(=O)N=C(S)NC1=O,1
C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C,1
COC[C@H](O)c1ccc(OC[C@@H](O)CNC(C)C)cc1,1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1
CC(=O)N(C[C@@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,1
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,1
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,1
CCOc1ccc(C[C@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,1
CC1(C)CC2CC(C(=O)N2)C(N)C(N)CO1,0
NCCCNCCCCNCCCN,1
CCC1C(CC(N)CS(=O)(=O)O)CC2CC21C,0
C#CC(C#C)(c1nc(O)ns1)C(C)CC(=O)O,0
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,1
C=C1NC(N)=Nc2c1ncn2[C@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]1O,1
CC1(C)Cc2ocnc2COC1c1ncco1,0
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1
C#CCc1nc(C(C)=O)cc2onc(CO)c12,0
O=C(OOC(=O)c1ccccc1)c1ccccc1,1
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CCC[C@@H](N)C(=O)O)[C@H]2SC1,1
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1
CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(O)c1,1
Cc1cc(C2C(O)C3CC(C#N)CN2C3)[nH]n1,0
N=C(O)OC[C@@H](C(=O)O)c1ccccc1,1
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@@](=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1
CC(C)(C)OCCCNc1cccc(F)c1[N+](=O)[O-],0
CN[C@@H](C)[C@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3OC[C@@](C)(O)[C@@H](NC)[C@@H]3O)[C@H](N)C[C@@H]2N)O1,1
Cc1nc(N(C)[C@H]2CCc3ccccc32)ccc1[N+](=O)[O-],0
C#CC1OC(C#N)C(C(C)(O)CC)C1(N)CN,0
CCNCC(=O)Nc1c(C)ccc(O)c1C,1
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1
C[C@@H](N)Cc1cnc[nH]1,1
CC(=Nc1coc(C)c1C)NC1CCCC1N,0
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@@H]2C[C@H](NC(=O)C(F)(F)F)[C@@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,1
CCN(C)C1C(O)CCC2OC(C1C)C2O,0
Cc1cn([C@@H]2C[C@@H](N=[N+]=[N-])[C@@H](CO[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,1
CC1OC2CC2(C)C=CS(=O)(=O)C1C#N,0
CN(C)/N=N/c1[nH]cnc1C(N)=O,1
O=C(c1ccc(Cl)cc1F)N1CC(c2ncc(C3CC3)cn2)C1,0
CC1(C)C[C@H](NCc2cc(C(N)=O)cs2)c2ccccc2O1,0
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,1
CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1,1
CCC/N=C1\S/C(=C\c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,1
CC1=CC(N)=NCC(N)=NCC(C)CN1,0
COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@H](CC(C)C)CN1CC2,1
C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,1
Cc1ccc(C(=O)NC(=S)Nc2ccc(Cl)cn2)c(C)c1,0
CC(=O)CC12OCOC1=NC(C=O)C2(C)CO,0
CCC12CCN(C)CC1(CC#N)C(C)OCO2,0
C[C@H](C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,1
CCCCNC(=O)NCC1CCN(Cc2ccc(OC)cc2)CC1,0
CC(C)NC[C@@H](O)COc1ccc(O)c2ccccc12,1
OCCOC[C@H]1O[C@H](OCCO)[C@H](OCCO)[C@@H](OCCO)[C@@H]1OCCO,1
O=C(NCC1(c2cccc(Cl)c2)CC1)N1CC[C@]2(CCOC2)C1,0
CC1=CN2C3C(=NO)CC(C4CN=C1N4)C32,0
O[C@@H](CNc1ncnc2cnccc12)c1csc2ccccc12,0
COc1cc2c([C@@H](C)CNC(C)=O)c[nH]c2cc1Cl,1
O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,1
C[C@@H](N)CCCC(C)(C)O,1
CCn1cccc1CN(C)Cc1ccccc1[N+](=O)[O-],0
CN(C)CCCN1c2cc(Cl)ccc2CCc2c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cccc21,1
CCC1C2NCCC3=C2C1NC(S(C)(=O)=O)C3,0
C[C@H](NC(=O)COC1CCCC1)c1nc(-c2ccccc2)c[nH]1,0
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
CC(C)Nc1cccc(CNC(=O)N[C@@H]2[C@H]3CCO[C@@H]3C23CCC3)c1,0
CN[C@]1(c2ccccc2Cl)C[C@H](O)CCC1=O,1
N,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,1
C#CC1NCC2(C)C=CC3=CCC(C)C3C12,0
CCC1=C(C)CCOCC(=O)C2(C#C1)CN2,0
CC#CCC1(C#N)Cc2c(C)coc2N1,0
CCOC(=O)O[C@H](C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,1
O=C1NC(=O)[C@@](C2=C[C@H](O)[C@H](O)C=C2)(c2ccccc2)N1,1
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,1
CC(O)CCC1(N)CC2(CN)CCC1C(N)C2,0
CC(C)(O)C1CC12OC1OCC=C1C2(C)N,0
Cc1cc(C)c(NC(=O)[C@H]2CS[C@@]3(C)CCC(=O)N23)c(C)c1,0
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@@H]3CC[C@@H](O)[C@@H]3C2)cc1,1
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,1
CN(Cc1cnccn1)S(=O)(=O)c1ccc(C2CCCCC2)cc1,0
CC(C)(C)C(=O)[C@@H](Oc1ccc(Cl)cc1)n1ccnc1,1
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3C[C@H](O)C[C@H]3C2)cc1,1
CC1CC2CCCC1C(C#N)=CNC(=O)N2,0
Cc1noc(N)c1C(=O)OCc1coc(-c2ccccc2Cl)n1,0
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,1
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,1
CCC1C(=O)COC2(C)C1C2N(C=N)CC,0
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Zn+2],1
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,1
O=C1NC(=O)[C@](c2ccccc2)(c2ccc(O)cc2)N1,1
Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,1
Cc1ccsc1/C=C/C1=NCCCN1C,1
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,1
CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,1
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,1
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,1
CCc1c2c(nc3ccc(OC(=O)N4CCC(N)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1
C[C@H](C(=O)O)c1ccc(C[C@H]2CCCC2=O)cc1,1
CC1CNC2=NCC(N=CN)(C3CC3)CC21,0
CC[C@H](C)[C@@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,1
CCCN[C@@H]1CCc2nc(N)sc2C1,1
C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O,1
COc1ccc(C(=O)Nc2cc(Cl)ccc2OC)cc1N,0
C[C@@H]1C[C@@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1,1
NC(=O)NS(=O)(=O)c1ccc(N)cc1,1
CC(C)COc1ccc(CNC(=O)NCc2ccccn2)cc1,0
O=[S@@](c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,1
O=C(Nc1ccc(-c2nnco2)cc1)[C@H]1CCCN1Cc1ccccc1,0
CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,1
CC1NCC(N)C2(O)C(C#N)OCC1(N)C2C,0
CC(=O)[O-].[K+],1
COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,1
CN1Cc2nnoc2CC(N)=NCC(O)C1=O,0
CC1NC2COC3(C)C(O)CCC23C(O)C1O,0
O=[N+]([O-])c1ccccc1-c1cc(CN2CCCCC2)on1,0
COc1ccc(NC(=O)[C@@H]2CCCC[C@@H]2C)cc1[N+](=O)[O-],0
CC1(C)C[C@H](O)CCN(C(=O)c2ccc3nc(C(F)F)[nH]c3c2)C1,0
c1ccc([C@H]2CN3CCSC3=N2)cc1,1
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,1
Cc1c(C(=O)NC[C@@H]2CCCO2)[nH]c2ccc(Br)cc12,0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
OC[C@@H]1NC[C@H](O)[C@H]1O,1
CC(=O)CC(=O)OC1CNC=NC2CCC21,0
CC[C@@H](C)[C@H](NC(=O)c1ccccc1)C(=O)Nc1cc(C)ccn1,0
CC(C)C1OC2(C)CCCC1(OCCN)OC2,0
O=C(NCC(F)F)Nc1ccc(Cl)c(OC(F)F)c1,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,1
C[C@@H]1CCCN1c1ccc([N+](=O)[O-])cc1Br,0
CCOc1cnc(O)ccsc(=NC)c(=O)[nH]1,0
Cn1cc([C@@H]2CN(C(=O)c3cc(C4CC4)on3)Cc3ccccc32)cn1,0
CCC[C@@H](CC)NC(=O)c1cc2cccc([N+](=O)[O-])c2[nH]1,0
CN(C)C[C@@H]1CCCC[C@@]1(O)c1cccc(O)c1,1
CC(C)(C)OC(=O)NCCN(Cc1ccccn1)Cc1ccccn1,0
CN(C)C1(CNc2ccc([N+](=O)[O-])cc2C(F)F)CCC1,0
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1
Cn1nccc1[C@H]1CCCN(C(=O)NC[C@@H]2C[C@H]2c2ccccc2)C1,0
CC12C=C(CO)C(N1)C(C)(N)C2OCC#N,0
C[C@H]1O[C@@H](O[C@@H]2[C@H](O)C[C@@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]5[C@H]4C[C@@H](O)[C@]4(C)[C@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@H](O)[C@@H]1O,1
COc1ccc2cc(CNc3ccc(OC)c(OC)c3)c(=O)[nH]c2c1,0
CN(C)C(=O)CCCC(=O)Nc1ccc(Cl)c(Br)c1,0
CC1CCN(CC2C(S(N)(=O)=O)=CN3CC23)C1,0
CCC1C(=NC)OC(C(=O)C#N)C(=N)N1C=N,0
CC1C(O)CC23C(=NO)CCC2C13C(N)=O,0
O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC(O)CC1,0
C[C@H]1C[C@@H](Nc2nc3ccccc3cc2[N+](=O)[O-])CCO1,0
CC(C12CC(O)C1=CCO2)C(C)(N)S(=O)(=O)O,0
CC12Cc3onnc3CC(N)(CCN1)CC2O,0
Cc1ccc(CNC(=O)N[C@H](C)c2ccc3c(c2)CC(=O)N3)s1,0
O=C(CSc1ccncc1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12,1
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,1
C[C@H](CCCO)CNc1c(Cl)cccc1[N+](=O)[O-],0
O=C(C1CC1)[C@@H](c1ccccc1F)N1CCc2sc(O)cc2C1,1
CC(=O)N(C[C@@H](C)C(=O)O)c1c(I)cc(I)c(N)c1I,1
CC1C2CN(C)CC(=O)C(C=O)N1CCC2O,0
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,1
Cc1[nH]nc2c1N(C)CCC1(CCCC1O)O2,0
COc1cc2c(CCNC(C)=O)c[nH]c2cc1O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
C#CC(CC=O)C(=O)C1CC(C)(S(N)(=O)=O)C1,0
CN[C@@H](C)[C@@H](O)c1ccc(O)cc1,1
Cc1ccc(CN2CC[C@H](OCC(C)C)C2)cc1[N+](=O)[O-],0
CC(CC(=O)CC(=N)N)c1cc(=O)ncn1C,0
CCC(CO)(OC)C1(CC(C)=O)CCC(=O)C1,0
O=C(Nc1ccc(NC(=O)c2cccc3cn[nH]c23)cc1)NC1CC1,0
C#CC12CC1C1=CCCC1(S(=O)(=O)CC)O2,0
CCc1coc(N)nc(=O)oc2c1nnn2C,0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,1
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc13,1
CC(C)c1nc(CCNC(=O)c2cccc(-c3ncn[nH]3)c2)cs1,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1
CCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@@]21C,1
CN(C)CC[C@@H](c1ccccc1)c1ccccn1,1
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,1
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1
CC1CC(CNCC(N)C#N)COC(=O)N1,0
FS(F)(F)(F)(F)F,1
CC1Nc2c(-c3cocn3)oc3nccc1c23,0
CN[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H]([C@@H](C)NC)CC[C@@H]3N)[C@H](N)C[C@@H]2N)OC[C@]1(C)O,1
CC[C@@H]1[C@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O,1
CC1CC(N)C2CNC(C3CCNC3)C2N1C,0
O[C@@H]1[C@@H](O)[C@H](O)[C@@]2(O)CC[C@H]1N2,1
CCN1CCC(C)N(C)CC(C)(OC)C(N)C1,0
CCC(NC(=N)N)C1(N)CNC(C#N)C1CC,0
CCCC(N=C(N)C(C)OC)C(=O)NC=NC,0
CN1CC[C@@]23c4c5ccc(OS(=O)(=O)O)c4O[C@@H]2C(=O)CC[C@@H]3[C@H]1C5,1
CC(C)=C[C@H]1[C@@H](C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1
C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1
CCC12OCC3CNC(=O)CC31C2C=O,0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1
CC(N)CN1C(=N)CC(O)(c2cnn[nH]2)C1=O,0
CC1c2c3c(cn2CCC1(C)C)CC(O)CN3,0
CC(C)CCN(C)C(=O)Cc1ccc([N+](=O)[O-])cc1Cl,0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,1
Clc1cccc(N2CCNCC2)c1,1
OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,1
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,1
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,1
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,1
CCOC1C=C(C)C(O)C2N=C(N)OC12,0
CCC(N=C1NC(=NC)NCC1O)C(=O)C=O,0
CC1C=CC2=CC(C(O)C1C=O)S(=O)(=O)NC2,0
C[C@]12CC[C@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1
C#CC(C)(O)C(C=O)CN=c1ccncnc1,0
NC[C@H](O)c1ccc(O)c(O)c1,1
Nc1ccc(C(=O)O)cc1,1
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,1
CC1(O)C(C#N)=C(C(N)=O)c2[nH]cc(O)c21,0
O=[N+]([O-])c1cccc(-c2ccc(CN3CC[C@H](F)C3)o2)c1,0
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,1
C#CC1(NC=O)CC(N)C(C(C)C)C12CN2,0
C[C@@H]1C/C=C\C=C\C=C\C=C\[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@@](O)(C[C@H](O)[C@H]2C(=O)O)[C@@H](O)C[C@@H]2O[C@@H]2/C=C\C(=O)O1,1
O=C(/C=C/c1ccc(C(F)(F)F)cc1)NCc1nnc2ccccn12,0
Cc1ccsc1C(=O)N[C@H](c1ccccc1)[C@@H](C)C(=O)O,0
CC(C)[C@@H]1C[C@H]1NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,0
NC(=O)N[C@H]1NC(=O)NC1=O,1
Clc1ccc([C@@H](OCCN2CCCCC2)c2ccccc2)cc1,1
CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,1
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccc(O)cc2c1=O,1
CO[C@@H](c1ccccc1Cl)[C@@H](C)NC(=O)Cc1ccc(C)nc1,0
C#Cc1cc(=O)nc2n1C1C(C)CCC2C1C,0
Cc1sc2c3c1C(C)(C)C(C)N3C(=O)CNC2,0
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,1
CCOCC(N)(C(C)(C)N)C1(C)CC1,0
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,1
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1
CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O,1
CC[C@@]1(C)CCN(C(=O)/C=C\c2ccc([N+](=O)[O-])cc2)C1,0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1
Cc1c(O)cc2c(c1C)O[C@@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)CC2,1
